employee_department,employee_campus,employee_position,employee_seniority_years,is_contractor,employee_classification,has_criminal_record,employee_origin_country,total_printed_pages,num_printed_pages_off_hours,total_files_burned,burned_from_other,hostility_country_level,num_entries,num_unique_campus,entry_during_weekend,is_malicious
0,0,43,26,0,2,1,12,4,0,0,0,0,2,1,0,0
7,1,35,0,0,2,0,12,19,0,0,0,0,0,0,0,0
0,0,34,8,0,2,0,4,0,0,27,0,0,1,1,0,0
9,1,27,9,1,3,0,12,0,0,38,0,0,1,1,0,0
7,2,35,21,0,1,0,12,41,0,0,0,0,0,0,0,0
2,0,19,17,0,1,0,30,56,0,0,0,0,1,1,0,0
0,2,41,10,0,3,0,29,2,0,0,0,0,0,0,0,0
6,1,6,17,0,2,0,6,18,5,0,0,0,1,1,0,0
9,1,41,8,0,3,0,29,0,0,43,0,0,0,0,0,0
9,2,23,21,0,2,0,22,0,0,10,0,0,0,0,0,0
0,2,22,30,0,3,0,30,0,0,8,0,0,0,0,0,0
6,0,6,20,0,2,0,12,16,0,0,0,0,0,0,0,0
7,1,41,5,0,2,0,29,4,0,0,0,0,1,1,1,0
7,2,30,12,0,3,0,9,0,0,13,0,0,1,1,1,0
8,1,38,20,0,1,0,12,1,0,6,0,0,1,1,0,0
6,1,4,3,0,1,0,19,0,0,0,0,0,0,0,0,0
0,2,41,12,0,2,0,23,0,0,39,0,0,0,0,0,0
0,1,15,14,0,2,0,12,0,0,35,0,0,1,1,0,0
3,0,21,18,0,2,0,12,0,0,6,0,0,1,1,0,0
0,0,22,16,0,3,0,29,0,0,9,0,0,1,1,0,0
0,1,15,3,0,2,0,0,23,0,0,0,0,0,0,0,0
0,0,15,18,0,3,0,29,4,0,0,0,0,1,1,0,0
6,2,4,8,0,2,1,30,7,0,0,0,0,0,0,0,0
7,1,35,3,0,2,0,30,26,0,0,0,0,0,0,0,0
7,0,32,13,1,1,0,1,14,0,0,0,0,0,0,0,0
9,1,2,9,0,3,1,30,7,0,0,0,0,1,1,0,0
9,0,27,1,1,2,0,12,0,0,91,0,0,2,3,0,1
0,0,34,16,0,2,0,2,0,0,86,0,0,0,0,0,1
9,2,2,5,0,3,0,30,0,0,34,0,0,0,0,0,0
